ticker,name,sector,market
3035.T,ケイティケイ,卸売業,スタンダード
3036.T,アルコニックス,卸売業,プライム
3038.T,神戸物産,卸売業,プライム
3040.T,ソリトンシステムズ,情報・通信業,プライム
3041.T,ビューティカダンホールディングス,卸売業,スタンダード
3042.T,セキュアヴェイル,情報・通信業,スタンダード
3045.T,カワサキ,卸売業,スタンダード
3046.T,ジンズホールディングス,小売業,プライム
3048.T,ビックカメラ,小売業,プライム
3050.T,ＤＣＭホールディングス,小売業,プライム
3053.T,ペッパーフードサービス,小売業,スタンダード
3054.T,ハイパー,卸売業,スタンダード
3058.T,三洋堂ホールディングス,小売業,スタンダード
3059.T,ヒラキ,小売業,スタンダード
3063.T,ジェイグループホールディングス,小売業,グロース
3064.T,ＭｏｎｏｔａＲＯ,小売業,プライム
3065.T,ライフフーズ,小売業,スタンダード
3067.T,東京一番フーズ,小売業,スタンダード
3068.T,ＷＤＩ,小売業,スタンダード
3069.T,ＪＦＬＡホールディングス,食料品,スタンダード
3070.T,ジェリービーンズグループ,卸売業,グロース
3071.T,ストリーム,小売業,スタンダード
3075.T,銚子丸,小売業,スタンダード
3076.T,あい　ホールディングス,卸売業,プライム
3077.T,ホリイフードサービス,小売業,スタンダード
3079.T,ディーブイエックス,卸売業,スタンダード
3080.T,ジェーソン,小売業,スタンダード
3082.T,きちりホールディングス,小売業,スタンダード
3083.T,スターシーズ,小売業,スタンダード
3086.T,Ｊ．フロント　リテイリング,小売業,プライム
3087.T,ドトール・日レスホールディングス,小売業,プライム
3088.T,マツキヨココカラ＆カンパニー,小売業,プライム
3089.T,テクノアルファ,卸売業,スタンダード
3091.T,ブロンコビリー,小売業,プライム
3092.T,ＺＯＺＯ,小売業,プライム
3093.T,トレジャー・ファクトリー,小売業,プライム
3096.T,オーシャンシステム,小売業,スタンダード
3097.T,物語コーポレーション,小売業,プライム
3099.T,三越伊勢丹ホールディングス,小売業,プライム
3101.T,東洋紡,化学,プライム
3103.T,ユニチカ,繊維製品,プライム
3104.T,富士紡ホールディングス,繊維製品,プライム
3105.T,日清紡ホールディングス,電気機器,プライム
3106.T,倉敷紡績,繊維製品,プライム
3107.T,ダイワボウホールディングス,卸売業,プライム
3109.T,シキボウ,繊維製品,プライム
3110.T,日東紡績,ガラス・土石製品,プライム
3111.T,オーミケンシ,繊維製品,スタンダード
3113.T,ＵＮＩＶＡ・Ｏａｋホールディングス,証券、商品先物取引業,スタンダード
3116.T,トヨタ紡織,輸送用機器,プライム
3121.T,マーチャント・バンカーズ,サービス業,スタンダード
3123.T,サイボー,繊維製品,スタンダード
3131.T,シンデン・ハイテックス,卸売業,スタンダード
3132.T,マクニカホールディングス,卸売業,プライム
3133.T,海帆,小売業,グロース
3134.T,Ｈａｍｅｅ,小売業,スタンダード
3135.T,マーケットエンタープライズ,小売業,プライム
3137.T,ファンデリー,小売業,グロース
3138.T,富士山マガジンサービス,小売業,グロース
3139.T,ラクト・ジャパン,卸売業,プライム
3140.T,ＢＲＵＮＯ,卸売業,グロース
3143.T,オーウイル,卸売業,スタンダード
3148.T,クリエイトＳＤホールディングス,小売業,プライム
3150.T,グリムス,電気・ガス業,プライム
3151.T,バイタルケーエスケー・ホールディングス,卸売業,プライム
3153.T,八洲電機,卸売業,プライム
3154.T,メディアスホールディングス,卸売業,プライム
3156.T,レスター,卸売業,プライム
3157.T,ジオリーブグループ,卸売業,スタンダード
3159.T,丸善ＣＨＩホールディングス,小売業,スタンダード
3160.T,大光,卸売業,スタンダード
3161.T,アゼアス,卸売業,スタンダード
3166.T,ＯＣＨＩホールディングス,卸売業,スタンダード
3167.T,ＴＯＫＡＩホールディングス,卸売業,プライム
3168.T,ＭＥＲＦ,卸売業,スタンダード
3169.T,ミサワ,小売業,スタンダード
3172.T,ティーライフ,小売業,スタンダード
3173.T,Ｃｏｍｉｎｉｘ,卸売業,スタンダード
3174.T,ハピネス・アンド・ディ,小売業,スタンダード
3175.T,エー・ピーホールディングス,小売業,スタンダード
3176.T,三洋貿易,卸売業,プライム
3177.T,ありがとうサービス,小売業,スタンダード
3178.T,チムニー,小売業,スタンダード
3179.T,シュッピン,小売業,プライム
3180.T,ビューティガレージ,卸売業,プライム
3181.T,買取王国,小売業,スタンダード
3182.T,オイシックス・ラ・大地,小売業,プライム
3183.T,ウイン・パートナーズ,卸売業,プライム
3184.T,ＩＣＤＡホールディングス,小売業,スタンダード
3185.T,夢展望,小売業,グロース
3186.T,ネクステージ,小売業,プライム
3187.T,ミラタップ,小売業,グロース
3189.T,ＡＮＡＰホールディングス,小売業,スタンダード
3190.T,ホットマン,小売業,スタンダード
3191.T,ジョイフル本田,小売業,プライム
3192.T,白鳩,小売業,スタンダード
3193.T,エターナルホスピタリティグループ,小売業,プライム
3195.T,ジェネレーションパス,小売業,グロース
